ShortName,Variable,LongName,Source
P9,APAC.FOS.BREW.FM.UT009.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT008.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT007.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT006.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT005.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT004.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT003.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT002.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT001.PI04,TSM,Historian
P9,APAC.FOS.BREW.FM.UT130.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT129.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT128.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT127.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT126.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT125.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT124.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT123.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT122.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT121.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT120.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT119.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT118.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT117.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT116.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT115.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT114.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT113.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT112.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT111.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT110.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT109.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT108.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT107.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT106.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT105.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT104.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT103.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT102.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT101.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT095.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT094.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT093.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT092.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT091.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT090.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT089.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT088.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT087.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT086.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT085.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT084.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT083.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT082.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT081.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT080.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT079.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT078.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT077.PI07,TSM,Historian
P9,APAC.FOS.BREW.FM.UT076.PI07,TSM,Historian
